star 1	err	star 2	err	star 3		2-1	3-1	3-2	HJD	Epoch	error 3-2	error 2-1	error 3-1	phase	new phase
-11.652	0.003	-8.496	0.017	-8.884	0.013	3.156	2.768	-0.388	2459522.572	59522.57174	0.01334166406	0.02140093456	0.01334166406	0.8217729498	0.9373494527
-11.676	0.003	-8.476	0.017	-8.896	0.013	3.2	2.78	-0.42	2459522.572	59522.57193	0.01334166406	0.02140093456	0.01334166406	0.8223582553	0.9379347582
-11.671	0.003	-8.489	0.017	-8.89	0.012	3.182	2.781	-0.401	2459522.572	59522.57211	0.01236931688	0.02080865205	0.01236931688	0.8229432196	0.9385197225
-11.631	0.003	-8.418	0.017	-8.874	0.013	3.213	2.757	-0.456	2459522.572	59522.5723	0.01334166406	0.02140093456	0.01334166406	0.8235278093	0.9391043122
-11.635	0.003	-8.506	0.016	-8.876	0.013	3.129	2.759	-0.37	2459522.572	59522.57249	0.01334166406	0.02061552813	0.01334166406	0.8241102153	0.9396867183
-11.615	0.003	-8.436	0.017	-8.828	0.013	3.179	2.787	-0.392	2459522.573	59522.57268	0.01334166406	0.02140093456	0.01334166406	0.8246958954	0.9402723984
-11.649	0.003	-8.464	0.017	-8.883	0.013	3.185	2.766	-0.419	2459522.573	59522.5729	0.01334166406	0.02140093456	0.01334166406	0.8254017118	0.9409782147
-11.651	0.003	-8.477	0.016	-8.889	0.013	3.174	2.762	-0.412	2459522.573	59522.57309	0.01334166406	0.02061552813	0.01334166406	0.8259841497	0.9415606527
-11.606	0.003	-8.403	0.017	-8.845	0.013	3.203	2.761	-0.442	2459522.573	59522.57328	0.01334166406	0.02140093456	0.01334166406	0.8265697993	0.9421463023
-11.655	0.003	-8.478	0.016	-8.898	0.013	3.177	2.757	-0.42	2459522.573	59522.57346	0.01334166406	0.02061552813	0.01334166406	0.827149711	0.9427262139
-11.429	0.003	-8.187	0.021	-8.667	0.015	3.242	2.762	-0.48	2459522.574	59522.57365	0.01529705854	0.0258069758	0.01529705854	0.8277292494	0.9433057524
-11.63	0.003	-8.472	0.017	-8.848	0.013	3.158	2.782	-0.376	2459522.574	59522.57383	0.01334166406	0.02140093456	0.01334166406	0.8283116569	0.9438881598
-11.619	0.003	-8.426	0.017	-8.837	0.013	3.193	2.782	-0.411	2459522.574	59522.57402	0.01334166406	0.02140093456	0.01334166406	0.8288966197	0.9444731227
-11.631	0.003	-8.461	0.017	-8.858	0.013	3.17	2.773	-0.397	2459522.574	59522.57421	0.01334166406	0.02140093456	0.01334166406	0.8294804922	0.9450569951
-11.585	0.003	-8.419	0.018	-8.818	0.013	3.166	2.767	-0.399	2459522.574	59522.5744	0.01334166406	0.02220360331	0.01334166406	0.8300603733	0.9456368763
-11.639	0.003	-8.483	0.017	-8.853	0.013	3.156	2.786	-0.37	2459522.575	59522.57459	0.01334166406	0.02140093456	0.01334166406	0.8306619244	0.9462384273
-11.623	0.003	-8.454	0.017	-8.843	0.013	3.169	2.78	-0.389	2459522.575	59522.57478	0.01334166406	0.02140093456	0.01334166406	0.8312439877	0.9468204907
-11.629	0.003	-8.458	0.017	-8.854	0.013	3.171	2.775	-0.396	2459522.575	59522.57496	0.01334166406	0.02140093456	0.01334166406	0.8318314464	0.9474079493
-11.599	0.003	-8.444	0.017	-8.835	0.013	3.155	2.764	-0.391	2459522.575	59522.57515	0.01334166406	0.02140093456	0.01334166406	0.8324167839	0.9479932868
-11.659	0.003	-8.477	0.017	-8.903	0.012	3.182	2.756	-0.426	2459522.575	59522.57534	0.01236931688	0.02080865205	0.01236931688	0.8330042411	0.948580744
-11.597	0.003	-8.438	0.017	-8.834	0.013	3.159	2.763	-0.396	2459522.576	59522.57553	0.01334166406	0.02140093456	0.01334166406	0.8335884562	0.9491649591
-11.677	0.003	-8.484	0.017	-8.921	0.012	3.193	2.756	-0.437	2459522.576	59522.57571	0.01236931688	0.02080865205	0.01236931688	0.8341730459	0.9497495488
-11.634	0.003	-8.48	0.017	-8.878	0.013	3.154	2.756	-0.398	2459522.576	59522.5759	0.01334166406	0.02140093456	0.01334166406	0.8347533321	0.9503298351
-11.67	0.003	-8.502	0.017	-8.898	0.013	3.168	2.772	-0.396	2459522.576	59522.57609	0.01334166406	0.02140093456	0.01334166406	0.8353350223	0.9509115253
-11.668	0.003	-8.504	0.016	-8.903	0.013	3.164	2.765	-0.399	2459522.576	59522.57627	0.01334166406	0.02061552813	0.01334166406	0.8359149035	0.9514914064
-11.629	0.003	-8.444	0.017	-8.847	0.013	3.185	2.782	-0.403	2459522.576	59522.57646	0.01334166406	0.02140093456	0.01334166406	0.8364965922	0.9520730952
-11.639	0.003	-8.495	0.016	-8.879	0.013	3.144	2.76	-0.384	2459522.577	59522.57665	0.01334166406	0.02061552813	0.01334166406	0.8370783129	0.9526548159
-11.565	0.003	-8.403	0.018	-8.82	0.013	3.162	2.745	-0.417	2459522.577	59522.57683	0.01334166406	0.02220360331	0.01334166406	0.8376574768	0.9532339797
-11.668	0.003	-8.512	0.016	-8.901	0.013	3.156	2.767	-0.389	2459522.577	59522.57702	0.01334166406	0.02061552813	0.01334166406	0.8382373899	0.9538138928
-11.634	0.003	-8.437	0.017	-8.86	0.013	3.197	2.774	-0.423	2459522.577	59522.57721	0.01334166406	0.02140093456	0.01334166406	0.8388223222	0.9543988252
