star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase	new pahse
-11.833	0.004	-9.429	0.02	-10.466	0.01	2459522.654	2.404	1.367	-1.037	59522.65455	0.02236067977	0.02039607805	0.01077032961	0.07940502171	0.1955653661
-11.822	0.004	-9.426	0.02	-10.468	0.01	2459522.655	2.396	1.354	-1.042	59522.65474	0.02236067977	0.02039607805	0.01077032961	0.07998886367	0.1961625832
-11.809	0.005	-9.448	0.019	-10.436	0.01	2459522.655	2.361	1.373	-0.988	59522.65493	0.02147091055	0.0196468827	0.01118033989	0.08058608073	0.1967449892
-11.836	0.004	-9.456	0.02	-10.468	0.01	2459522.655	2.38	1.368	-1.012	59522.65512	0.02236067977	0.02039607805	0.01077032961	0.08116848674	0.197329952
-11.752	0.005	-9.359	0.021	-10.367	0.01	2459522.655	2.393	1.385	-1.008	59522.6553	0.0232594067	0.02158703314	0.01118033989	0.08175344959	0.1979094905
-11.833	0.004	-9.42	0.021	-10.462	0.01	2459522.655	2.413	1.371	-1.042	59522.65549	0.0232594067	0.02137755833	0.01077032961	0.08233298806	0.1984912112
-11.739	0.005	-9.345	0.021	-10.362	0.01	2459522.655	2.394	1.377	-1.017	59522.65568	0.0232594067	0.02158703314	0.01118033989	0.08291470877	0.1990776086
-11.792	0.005	-9.394	0.021	-10.383	0.01	2459522.656	2.398	1.409	-0.989	59522.65587	0.0232594067	0.02158703314	0.01118033989	0.08350110611	0.1996614505
-11.793	0.005	-9.408	0.02	-10.422	0.01	2459522.656	2.385	1.371	-1.014	59522.65605	0.02236067977	0.02061552813	0.01118033989	0.08408494807	0.2002478479
-11.753	0.005	-9.347	0.021	-10.376	0.01	2459522.656	2.406	1.377	-1.029	59522.65624	0.0232594067	0.02158703314	0.01118033989	0.08467134542	0.2008309711
-11.836	0.004	-9.425	0.02	-10.453	0.01	2459522.656	2.411	1.383	-1.028	59522.65644	0.02236067977	0.02039607805	0.01077032961	0.08525446868	0.201440817
-11.842	0.004	-9.405	0.02	-10.423	0.01	2459522.656	2.437	1.419	-1.018	59522.65664	0.02236067977	0.02039607805	0.01077032961	0.08586431454	0.2020593294
-11.854	0.004	-9.422	0.02	-10.449	0.01	2459522.657	2.432	1.405	-1.027	59522.65682	0.02236067977	0.02039607805	0.01077032961	0.08648282692	0.2026446668
-11.848	0.004	-9.482	0.02	-10.448	0.01	2459522.657	2.366	1.4	-0.966	59522.65701	0.02236067977	0.02039607805	0.01077032961	0.08706816436	0.2032263875
-11.831	0.004	-9.43	0.02	-10.428	0.01	2459522.657	2.401	1.403	-0.998	59522.6572	0.02236067977	0.02039607805	0.01077032961	0.08764988506	0.2038127224
-11.881	0.004	-9.485	0.019	-10.475	0.01	2459522.657	2.396	1.406	-0.99	59522.65738	0.02147091055	0.01941648784	0.01077032961	0.08823621997	0.2043951923
-11.887	0.004	-9.453	0.019	-10.474	0.01	2459522.657	2.434	1.413	-1.021	59522.65757	0.02147091055	0.01941648784	0.01077032961	0.08881868987	0.2049808419
-11.904	0.004	-9.461	0.02	-10.508	0.009	2459522.658	2.443	1.396	-1.047	59522.65776	0.0219317122	0.02039607805	0.009848857802	0.08940433948	0.2055654302
-11.881	0.004	-9.438	0.02	-10.484	0.01	2459522.658	2.443	1.397	-1.046	59522.65795	0.02236067977	0.02039607805	0.01077032961	0.08998892773	0.206151797
-11.886	0.004	-9.484	0.019	-10.486	0.01	2459522.658	2.402	1.4	-1.002	59522.65814	0.02147091055	0.01941648784	0.01077032961	0.09057529458	0.2067594912
-11.912	0.004	-9.487	0.019	-10.506	0.009	2459522.658	2.425	1.406	-1.019	59522.65833	0.02102379604	0.01941648784	0.009848857802	0.0911829887	0.2073433636
-11.804	0.005	-9.369	0.021	-10.38	0.01	2459522.658	2.435	1.424	-1.011	59522.65852	0.0232594067	0.02158703314	0.01118033989	0.09176686115	0.2079297914
-11.807	0.004	-9.315	0.021	-10.39	0.01	2459522.659	2.492	1.417	-1.075	59522.65871	0.0232594067	0.02137755833	0.01077032961	0.09235328898	0.2085125735
-11.865	0.004	-9.408	0.02	-10.421	0.01	2459522.659	2.457	1.444	-1.013	59522.65889	0.02236067977	0.02039607805	0.01077032961	0.09293607104	0.2090935145
-11.827	0.004	-9.38	0.021	-10.379	0.01	2459522.659	2.447	1.448	-0.999	59522.65908	0.0232594067	0.02137755833	0.01077032961	0.09351701207	0.2096730515
-11.82	0.004	-9.351	0.021	-10.376	0.01	2459522.659	2.469	1.444	-1.025	59522.65927	0.0232594067	0.02137755833	0.01077032961	0.09409654909	0.2102576412
-11.951	0.004	-9.438	0.02	-10.491	0.01	2459522.659	2.513	1.46	-1.053	59522.65946	0.02236067977	0.02039607805	0.01077032961	0.09468113879	0.2108508989
-11.927	0.004	-9.461	0.02	-10.471	0.01	2459522.659	2.466	1.456	-1.01	59522.65964	0.02236067977	0.02039607805	0.01077032961	0.09527439646	0.2114369217
-11.976	0.004	-9.51	0.019	-10.491	0.01	2459522.66	2.466	1.485	-0.981	59522.65983	0.02147091055	0.01941648784	0.01077032961	0.09586041921	0.2120211368
-11.949	0.004	-9.477	0.02	-10.49	0.01	2459522.66	2.472	1.459	-1.013	59522.66002	0.02236067977	0.02039607805	0.01077032961	0.09644463431	0.2126046666
-11.959	0.004	-9.476	0.02	-10.47	0.01	2459522.66	2.483	1.489	-0.994	59522.6602	0.02236067977	0.02039607805	0.01077032961	0.09702816411	0.2131859822
-11.951	0.004	-9.487	0.019	-10.489	0.01	2459522.66	2.464	1.462	-1.002	59522.66039	0.02147091055	0.01941648784	0.01077032961	0.09760947973	0.2137698546
-11.959	0.004	-9.465	0.019	-10.478	0.01	2459522.66	2.494	1.481	-1.013	59522.66058	0.02147091055	0.01941648784	0.01077032961	0.09819335219	0.2143548175
-11.996	0.004	-9.502	0.019	-10.524	0.009	2459522.661	2.494	1.472	-1.022	59522.66077	0.02102379604	0.01941648784	0.009848857802	0.09877831503	0.2149372554
-11.948	0.004	-9.452	0.02	-10.439	0.01	2459522.661	2.496	1.509	-0.987	59522.66096	0.02236067977	0.02039607805	0.01077032961	0.09936075299	0.2155282989
-11.861	0.004	-9.344	0.022	-10.381	0.01	2459522.661	2.517	1.48	-1.037	59522.66114	0.02416609195	0.02236067977	0.01077032961	0.09995179648	0.216110705
-11.763	0.005	-9.257	0.023	-10.263	0.011	2459522.661	2.506	1.5	-1.006	59522.66133	0.02549509757	0.02353720459	0.01208304597	0.1005342025	0.2166956692
-11.975	0.004	-9.462	0.02	-10.484	0.01	2459522.661	2.513	1.491	-1.022	59522.66152	0.02236067977	0.02039607805	0.01077032961	0.1011191668	0.2172762676
-11.964	0.004	-9.451	0.02	-10.46	0.01	2459522.662	2.513	1.504	-1.009	59522.66171	0.02236067977	0.02039607805	0.01077032961	0.1016997652	0.2178749497
-11.908	0.004	-9.374	0.021	-10.421	0.01	2459522.662	2.534	1.487	-1.047	59522.66189	0.0232594067	0.02137755833	0.01077032961	0.1022984472	0.2184577303
-11.831	0.004	-9.299	0.023	-10.314	0.011	2459522.662	2.532	1.517	-1.015	59522.66208	0.02549509757	0.02334523506	0.01170469991	0.1028812278	0.2190397951
-11.863	0.004	-9.289	0.022	-10.355	0.011	2459522.662	2.574	1.508	-1.066	59522.66227	0.02459674775	0.02236067977	0.01170469991	0.1034632926	0.2196244153
-11.928	0.004	-9.408	0.021	-10.414	0.01	2459522.662	2.52	1.514	-1.006	59522.66246	0.0232594067	0.02137755833	0.01077032961	0.1040479128	0.220226309
-11.891	0.004	-9.355	0.021	-10.377	0.01	2459522.662	2.536	1.514	-1.022	59522.66265	0.0232594067	0.02137755833	0.01077032961	0.1046498065	0.2208166672
-11.923	0.004	-9.359	0.021	-10.394	0.01	2459522.663	2.564	1.529	-1.035	59522.66285	0.0232594067	0.02137755833	0.01077032961	0.1052401647	0.2214297856
-11.949	0.004	-9.41	0.02	-10.416	0.01	2459522.663	2.539	1.533	-1.006	59522.66303	0.02236067977	0.02039607805	0.01077032961	0.1058532832	0.2220121917
-11.946	0.004	-9.393	0.02	-10.416	0.01	2459522.663	2.553	1.53	-1.023	59522.66322	0.02236067977	0.02039607805	0.01077032961	0.1064356892	0.2225989331
-11.959	0.004	-9.383	0.021	-10.421	0.01	2459522.663	2.576	1.538	-1.038	59522.66341	0.0232594067	0.02137755833	0.01077032961	0.1070224306	0.2231849559
-11.804	0.005	-9.245	0.022	-10.256	0.011	2459522.663	2.559	1.548	-1.011	59522.6636	0.02459674775	0.02256102835	0.01208304597	0.1076084534	0.2237717278
-11.932	0.004	-9.362	0.021	-10.386	0.01	2459522.664	2.57	1.546	-1.024	59522.66379	0.0232594067	0.02137755833	0.01077032961	0.1081952253	0.2243570347
-11.951	0.004	-9.392	0.021	-10.392	0.01	2459522.664	2.559	1.559	-1	59522.66397	0.0232594067	0.02137755833	0.01077032961	0.1087805323	0.2249423722
-11.911	0.004	-9.313	0.021	-10.358	0.01	2459522.664	2.598	1.553	-1.045	59522.66416	0.0232594067	0.02137755833	0.01077032961	0.1093658697	0.2255276472
-11.988	0.004	-9.448	0.02	-10.432	0.01	2459522.664	2.54	1.556	-0.984	59522.66435	0.02236067977	0.02039607805	0.01077032961	0.1099511447	0.2261068111
-12.012	0.004	-9.415	0.02	-10.441	0.01	2459522.664	2.597	1.571	-1.026	59522.66454	0.02236067977	0.02039607805	0.01077032961	0.1105303086	0.2266899663
-11.962	0.004	-9.392	0.02	-10.4	0.01	2459522.665	2.57	1.562	-1.008	59522.66473	0.02236067977	0.02039607805	0.01077032961	0.1111134638	0.22731247
-11.942	0.004	-9.341	0.021	-10.371	0.01	2459522.665	2.601	1.571	-1.03	59522.66492	0.0232594067	0.02137755833	0.01077032961	0.1117359675	0.2278945028
-11.981	0.004	-9.42	0.021	-10.392	0.01	2459522.665	2.561	1.589	-0.972	59522.66512	0.0232594067	0.02137755833	0.01077032961	0.1123180004	0.2285227431
-11.88	0.004	-9.283	0.022	-10.282	0.011	2459522.665	2.597	1.598	-0.999	59522.66531	0.02459674775	0.02236067977	0.01170469991	0.1129462406	0.2291030308
-12.022	0.004	-9.414	0.02	-10.443	0.01	2459522.665	2.608	1.579	-1.029	59522.6655	0.02236067977	0.02039607805	0.01077032961	0.1135265283	0.2296872459
-11.964	0.004	-9.389	0.021	-10.38	0.01	2459522.665	2.575	1.584	-0.991	59522.66568	0.0232594067	0.02137755833	0.01077032961	0.1141107434	0.2302700265
-11.977	0.004	-9.34	0.021	-10.385	0.01	2459522.666	2.637	1.592	-1.045	59522.66588	0.0232594067	0.02137755833	0.01077032961	0.114693524	0.2308910332
-11.972	0.004	-9.352	0.021	-10.355	0.01	2459522.666	2.62	1.617	-1.003	59522.66607	0.0232594067	0.02137755833	0.01077032961	0.1153145308	0.2314778052
-12.032	0.004	-9.408	0.021	-10.417	0.01	2459522.666	2.624	1.615	-1.009	59522.66626	0.0232594067	0.02137755833	0.01077032961	0.1159013027	0.2320602112
-11.888	0.004	-9.273	0.023	-10.288	0.011	2459522.666	2.615	1.6	-1.015	59522.66644	0.02549509757	0.02334523506	0.01170469991	0.1164837087	0.2326426187
-12.018	0.004	-9.391	0.021	-10.401	0.01	2459522.666	2.627	1.617	-1.01	59522.66663	0.0232594067	0.02137755833	0.01077032961	0.1170661162	0.2332279561
-11.897	0.004	-9.286	0.023	-10.308	0.011	2459522.667	2.611	1.589	-1.022	59522.66682	0.02549509757	0.02334523506	0.01170469991	0.1176514536	0.2338168798
-11.939	0.004	-9.318	0.022	-10.318	0.011	2459522.667	2.621	1.621	-1	59522.66701	0.02459674775	0.02236067977	0.01170469991	0.1182403773	0.2343989736
-11.974	0.004	-9.321	0.021	-10.345	0.011	2459522.667	2.653	1.629	-1.024	59522.6672	0.02370653918	0.02137755833	0.01170469991	0.1188224712	0.2349842501
-12.059	0.004	-9.394	0.021	-10.431	0.01	2459522.667	2.665	1.628	-1.037	59522.66738	0.0232594067	0.02137755833	0.01077032961	0.1194077476	0.2355666561
-12.003	0.004	-9.355	0.021	-10.384	0.01	2459522.667	2.648	1.619	-1.029	59522.66757	0.0232594067	0.02137755833	0.01077032961	0.1199901537	0.2361465692
-11.834	0.004	-9.232	0.023	-10.208	0.011	2459522.668	2.602	1.626	-0.976	59522.66775	0.02549509757	0.02334523506	0.01170469991	0.1205700667	0.2367279458
-12.008	0.004	-9.346	0.022	-10.352	0.011	2459522.668	2.662	1.656	-1.006	59522.66795	0.02459674775	0.02236067977	0.01170469991	0.1211514433	0.2373373866
-12.01	0.004	-9.311	0.022	-10.377	0.01	2459522.668	2.699	1.633	-1.066	59522.66815	0.02416609195	0.02236067977	0.01077032961	0.1217608841	0.2379634751
-12.124	0.004	-9.436	0.02	-10.46	0.01	2459522.668	2.688	1.664	-1.024	59522.66834	0.02236067977	0.02039607805	0.01077032961	0.1223869726	0.2385470049
-12.072	0.004	-9.433	0.02	-10.386	0.01	2459522.668	2.639	1.686	-0.953	59522.66853	0.02236067977	0.02039607805	0.01077032961	0.1229705024	0.2391301601
-12.084	0.004	-9.436	0.02	-10.43	0.01	2459522.669	2.648	1.654	-0.994	59522.66872	0.02236067977	0.02039607805	0.01077032961	0.1235536576	0.2397298715
-12.032	0.004	-9.352	0.022	-10.397	0.01	2459522.669	2.68	1.635	-1.045	59522.6689	0.02416609195	0.02236067977	0.01077032961	0.1241533691	0.2403119654
-12.021	0.004	-9.373	0.021	-10.375	0.01	2459522.669	2.648	1.646	-1.002	59522.66909	0.0232594067	0.02137755833	0.01077032961	0.1247354629	0.2408968977
-12.099	0.004	-9.403	0.02	-10.416	0.01	2459522.669	2.696	1.683	-1.013	59522.66928	0.02236067977	0.02039607805	0.01077032961	0.1253203953	0.2414796478
-12.051	0.004	-9.363	0.021	-10.376	0.01	2459522.669	2.688	1.675	-1.013	59522.66947	0.0232594067	0.02137755833	0.01077032961	0.1259031454	0.2420621163
-12.122	0.004	-9.377	0.021	-10.435	0.01	2459522.669	2.745	1.687	-1.058	59522.66965	0.0232594067	0.02137755833	0.01077032961	0.1264856138	0.2426473608
-12.136	0.004	-9.442	0.02	-10.441	0.01	2459522.67	2.694	1.695	-0.999	59522.66985	0.02236067977	0.02039607805	0.01077032961	0.1270708583	0.2432514687
-12.086	0.004	-9.438	0.02	-10.415	0.01	2459522.67	2.648	1.671	-0.977	59522.67003	0.02236067977	0.02039607805	0.01077032961	0.1276749662	0.2438364315
-12.061	0.004	-9.372	0.021	-10.355	0.011	2459522.67	2.689	1.706	-0.983	59522.67022	0.02370653918	0.02137755833	0.01170469991	0.1282599291	0.244418839
-12.121	0.004	-9.433	0.02	-10.422	0.01	2459522.67	2.688	1.699	-0.989	59522.67041	0.02236067977	0.02039607805	0.01077032961	0.1288423365	0.2450027419
-12.049	0.004	-9.29	0.023	-10.34	0.01	2459522.67	2.759	1.709	-1.05	59522.6706	0.02507987241	0.02334523506	0.01077032961	0.1294262395	0.2455883915
-12.079	0.004	-9.343	0.021	-10.375	0.01	2459522.671	2.736	1.704	-1.032	59522.67078	0.0232594067	0.02137755833	0.01077032961	0.1300118891	0.2461715467
-12.076	0.004	-9.345	0.022	-10.381	0.01	2459522.671	2.731	1.695	-1.036	59522.67097	0.02416609195	0.02236067977	0.01077032961	0.1305950443	0.2467539528
-12.07	0.004	-9.35	0.021	-10.351	0.011	2459522.671	2.72	1.719	-1.001	59522.67116	0.02370653918	0.02137755833	0.01170469991	0.1311774503	0.247337108
-12.157	0.004	-9.476	0.019	-10.434	0.01	2459522.671	2.681	1.723	-0.958	59522.67135	0.02147091055	0.01941648784	0.01077032961	0.1317606055	0.2479527208
-12.1	0.004	-9.38	0.021	-10.383	0.01	2459522.671	2.72	1.717	-1.003	59522.67154	0.0232594067	0.02137755833	0.01077032961	0.1323762184	0.2485343806
-12.174	0.004	-9.429	0.02	-10.466	0.01	2459522.672	2.745	1.708	-1.037	59522.67173	0.02236067977	0.02039607805	0.01077032961	0.1329578781	0.2491171612
-12.076	0.004	-9.308	0.022	-10.346	0.011	2459522.672	2.768	1.73	-1.038	59522.67192	0.02459674775	0.02236067977	0.01170469991	0.1335406587	0.2497039956
-11.925	0.004	-9.2	0.024	-10.164	0.012	2459522.672	2.725	1.761	-0.964	59522.6721	0.02683281573	0.02433105012	0.01264911064	0.1341274931	0.250290361
-11.933	0.004	-9.218	0.023	-10.193	0.012	2459522.672	2.715	1.74	-0.975	59522.67229	0.02594224354	0.02334523506	0.01264911064	0.1347138585	0.2508753253
-11.997	0.004	-9.255	0.022	-10.268	0.011	2459522.672	2.742	1.729	-1.013	59522.67248	0.02459674775	0.02236067977	0.01170469991	0.1352988228	0.2514594779
-12.165	0.004	-9.392	0.021	-10.417	0.01	2459522.672	2.773	1.748	-1.025	59522.67267	0.0232594067	0.02137755833	0.01077032961	0.1358829755	0.2520459377
-12.162	0.004	-9.364	0.021	-10.438	0.01	2459522.673	2.798	1.724	-1.074	59522.67286	0.0232594067	0.02137755833	0.01077032961	0.1364694352	0.2526359213
-12.203	0.004	-9.409	0.02	-10.432	0.01	2459522.673	2.794	1.771	-1.023	59522.67304	0.02236067977	0.02039607805	0.01077032961	0.1370594188	0.2532204486
-12.154	0.004	-9.379	0.021	-10.396	0.01	2459522.673	2.775	1.758	-1.017	59522.67323	0.0232594067	0.02137755833	0.01077032961	0.1376439461	0.253802949
-12.17	0.004	-9.407	0.02	-10.411	0.01	2459522.673	2.763	1.759	-1.004	59522.67342	0.02236067977	0.02039607805	0.01077032961	0.1382264465	0.2544012259
-12.115	0.004	-9.319	0.021	-10.361	0.011	2459522.673	2.796	1.754	-1.042	59522.67361	0.02370653918	0.02137755833	0.01170469991	0.1388247235	0.2549865634
-12.176	0.004	-9.365	0.021	-10.408	0.01	2459522.674	2.811	1.768	-1.043	59522.6738	0.0232594067	0.02137755833	0.01077032961	0.1394100609	0.2555827205
-12.143	0.004	-9.385	0.021	-10.376	0.01	2459522.674	2.758	1.767	-0.991	59522.67399	0.0232594067	0.02137755833	0.01077032961	0.140006218	0.2561640042
-12.167	0.004	-9.371	0.021	-10.402	0.01	2459522.674	2.796	1.765	-1.031	59522.67418	0.0232594067	0.02137755833	0.01077032961	0.1405875017	0.2567486244
-12.189	0.004	-9.412	0.02	-10.425	0.01	2459522.674	2.777	1.764	-1.013	59522.67436	0.02236067977	0.02039607805	0.01077032961	0.1411721219	0.2573316867
-12.17	0.004	-9.385	0.021	-10.394	0.01	2459522.674	2.785	1.776	-1.009	59522.67455	0.0232594067	0.02137755833	0.01077032961	0.1417551842	0.2579112861
-12.248	0.004	-9.407	0.021	-10.462	0.01	2459522.675	2.841	1.786	-1.055	59522.67473	0.0232594067	0.02137755833	0.01077032961	0.1423347837	0.2584901073
-11.91	0.004	-9.128	0.025	-10.086	0.013	2459522.675	2.782	1.824	-0.958	59522.67492	0.02817800561	0.0253179778	0.01360147051	0.1429136049	0.2590721402
-12.078	0.004	-9.28	0.022	-10.296	0.011	2459522.675	2.798	1.782	-1.016	59522.67511	0.02459674775	0.02236067977	0.01170469991	0.1434956377	0.2596542355
-12.123	0.004	-9.302	0.022	-10.348	0.011	2459522.675	2.821	1.775	-1.046	59522.67531	0.02459674775	0.02236067977	0.01170469991	0.144077733	0.2602824757
-12.086	0.004	-9.301	0.022	-10.307	0.011	2459522.675	2.785	1.779	-1.006	59522.6755	0.02459674775	0.02236067977	0.01170469991	0.1447059733	0.260865631
-11.917	0.004	-9.131	0.025	-10.101	0.012	2459522.675	2.786	1.816	-0.97	59522.67568	0.02773084925	0.0253179778	0.01264911064	0.1452891285	0.2614509379
-12.227	0.004	-9.423	0.02	-10.444	0.01	2459522.676	2.804	1.783	-1.021	59522.67588	0.02236067977	0.02039607805	0.01077032961	0.1458744354	0.2620535488
-12.238	0.004	-9.393	0.02	-10.426	0.01	2459522.676	2.845	1.812	-1.033	59522.67606	0.02236067977	0.02039607805	0.01077032961	0.1464770464	0.2626388863
-12.189	0.004	-9.368	0.021	-10.371	0.01	2459522.676	2.821	1.818	-1.003	59522.67625	0.0232594067	0.02137755833	0.01077032961	0.1470623838	0.2632237867
-12.257	0.004	-9.44	0.02	-10.447	0.01	2459522.676	2.817	1.81	-1.007	59522.67644	0.02236067977	0.02039607805	0.01077032961	0.1476472842	0.2638105586
-12.198	0.004	-9.384	0.021	-10.384	0.01	2459522.676	2.814	1.814	-1	59522.67663	0.0232594067	0.02137755833	0.01077032961	0.1482340562	0.264394463
-12.312	0.003	-9.461	0.02	-10.51	0.01	2459522.677	2.851	1.802	-1.049	59522.67681	0.02236067977	0.02022374842	0.01044030651	0.1488179606	0.2649772436
-12.061	0.004	-9.236	0.023	-10.254	0.011	2459522.677	2.825	1.807	-1.018	59522.677	0.02549509757	0.02334523506	0.01170469991	0.1494007412	0.2655624882
-11.879	0.004	-9.118	0.025	-10.057	0.013	2459522.677	2.761	1.822	-0.939	59522.67719	0.02817800561	0.0253179778	0.01360147051	0.1499859857	0.2661452993
-12.189	0.004	-9.342	0.021	-10.355	0.01	2459522.677	2.847	1.834	-1.013	59522.67738	0.0232594067	0.02137755833	0.01077032961	0.1505687968	0.2667280799
-12.155	0.004	-9.339	0.022	-10.36	0.01	2459522.677	2.816	1.795	-1.021	59522.67756	0.02416609195	0.02236067977	0.01077032961	0.1511515774	0.2673119523
-11.811	0.005	-8.998	0.028	-9.998	0.013	2459522.678	2.813	1.813	-1	59522.67775	0.03087069808	0.02844292531	0.01392838828	0.1517354499	0.2678976324
-12.246	0.004	-9.359	0.021	-10.447	0.01	2459522.678	2.887	1.799	-1.088	59522.67794	0.0232594067	0.02137755833	0.01077032961	0.15232113	0.2684778576
-12.245	0.004	-9.388	0.02	-10.417	0.01	2459522.678	2.857	1.828	-1.029	59522.67812	0.02236067977	0.02039607805	0.01077032961	0.1529013552	0.2690610128
-12.211	0.004	-9.381	0.021	-10.385	0.01	2459522.678	2.83	1.826	-1.004	59522.67831	0.0232594067	0.02137755833	0.01077032961	0.1534845104	0.2696445412
-12.263	0.004	-9.423	0.02	-10.429	0.01	2459522.678	2.84	1.834	-1.006	59522.6785	0.02236067977	0.02039607805	0.01077032961	0.1540680387	0.2702312826
-12.025	0.004	-9.181	0.024	-10.214	0.011	2459522.678	2.844	1.811	-1.033	59522.67869	0.02640075756	0.02433105012	0.01170469991	0.1546547802	0.2708184277
-11.983	0.004	-9.119	0.025	-10.121	0.012	2459522.679	2.864	1.862	-1.002	59522.67889	0.02773084925	0.0253179778	0.01264911064	0.1552419253	0.2714393735
-12.183	0.004	-9.341	0.021	-10.32	0.011	2459522.679	2.842	1.863	-0.979	59522.67907	0.02370653918	0.02137755833	0.01170469991	0.1558628711	0.2720219044
-12.113	0.004	-9.245	0.023	-10.283	0.011	2459522.679	2.868	1.83	-1.038	59522.67926	0.02549509757	0.02334523506	0.01170469991	0.1564454019	0.272607117
-12.192	0.004	-9.294	0.022	-10.333	0.011	2459522.679	2.898	1.859	-1.039	59522.67945	0.02459674775	0.02236067977	0.01170469991	0.1570306145	0.2731884645
-12.122	0.004	-9.286	0.022	-10.259	0.011	2459522.679	2.836	1.863	-0.973	59522.67964	0.02459674775	0.02236067977	0.01170469991	0.1576119621	0.2737723675
-12.104	0.004	-9.212	0.023	-10.225	0.011	2459522.68	2.892	1.879	-1.013	59522.67982	0.02549509757	0.02334523506	0.01170469991	0.158195865	0.2743555227
-12.002	0.004	-9.125	0.025	-10.157	0.012	2459522.68	2.877	1.845	-1.032	59522.68001	0.02773084925	0.0253179778	0.01264911064	0.1587790202	0.2749411723
-11.92	0.004	-9.054	0.027	-10.088	0.012	2459522.68	2.866	1.832	-1.034	59522.6802	0.02954657341	0.02729468813	0.01264911064	0.1593646698	0.2755239529
-11.966	0.004	-9.052	0.027	-10.107	0.012	2459522.68	2.914	1.859	-1.055	59522.68039	0.02954657341	0.02729468813	0.01264911064	0.1599474504	0.276118301
-12.156	0.004	-9.242	0.023	-10.284	0.011	2459522.68	2.914	1.872	-1.042	59522.68059	0.02549509757	0.02334523506	0.01170469991	0.1605417985	0.2767515924
-12.079	0.004	-9.181	0.024	-10.178	0.012	2459522.681	2.898	1.901	-0.997	59522.68078	0.02683281573	0.02433105012	0.01264911064	0.16117509	0.2773376166
-12.215	0.004	-9.292	0.022	-10.343	0.011	2459522.681	2.923	1.872	-1.051	59522.68097	0.02459674775	0.02236067977	0.01170469991	0.1617611142	0.2779445616
-12.066	0.004	-9.257	0.023	-10.216	0.012	2459522.681	2.809	1.85	-0.959	59522.68116	0.02594224354	0.02334523506	0.01264911064	0.1623680591	0.2785280914
-11.977	0.004	-9.149	0.024	-10.131	0.012	2459522.681	2.828	1.846	-0.982	59522.68135	0.02683281573	0.02433105012	0.01264911064	0.1629515889	0.2791087202
-12.2	0.004	-9.291	0.023	-10.314	0.011	2459522.681	2.909	1.886	-1.023	59522.68153	0.02549509757	0.02334523506	0.01170469991	0.1635322178	0.2796907531
-12.253	0.004	-9.371	0.022	-10.356	0.01	2459522.682	2.882	1.897	-0.985	59522.68172	0.02416609195	0.02236067977	0.01077032961	0.1641142506	0.280274656
-11.914	0.004	-9.021	0.027	-10.04	0.013	2459522.682	2.893	1.874	-1.019	59522.68191	0.02996664813	0.02729468813	0.01360147051	0.1646981536	0.2808574367
-12.23	0.004	-9.309	0.022	-10.317	0.011	2459522.682	2.921	1.913	-1.008	59522.6821	0.02459674775	0.02236067977	0.01170469991	0.1652809342	0.2814456126
-12.325	0.003	-9.395	0.021	-10.434	0.01	2459522.682	2.93	1.891	-1.039	59522.68228	0.0232594067	0.02121320344	0.01044030651	0.1658691101	0.2820326952
-12.316	0.003	-9.424	0.02	-10.412	0.01	2459522.682	2.892	1.904	-0.988	59522.68247	0.02236067977	0.02022374842	0.01044030651	0.1664561928	0.2826158505
-12.313	0.003	-9.365	0.022	-10.422	0.01	2459522.682	2.948	1.891	-1.057	59522.68266	0.02416609195	0.02220360331	0.01044030651	0.167039348	0.2832023102
-12.316	0.003	-9.409	0.02	-10.408	0.01	2459522.683	2.907	1.908	-0.999	59522.68285	0.02236067977	0.02022374842	0.01044030651	0.1676258078	0.2837839685
-12.281	0.004	-9.391	0.021	-10.393	0.01	2459522.683	2.89	1.888	-1.002	59522.68303	0.0232594067	0.02137755833	0.01077032961	0.168207466	0.2843688704
-12.214	0.004	-8.421	0.045	-10.297	0.011	2459522.683	3.793	1.917	-1.876	59522.68322	0.04632493929	0.04517742799	0.01170469991	0.1687923679	0.2849534906
-12.174	0.004	-9.279	0.022	-10.286	0.011	2459522.683	2.895	1.888	-1.007	59522.68341	0.02459674775	0.02236067977	0.01170469991	0.1693769881	0.2855413224
-12.135	0.004	-9.195	0.023	-10.239	0.011	2459522.683	2.94	1.896	-1.044	59522.6836	0.02549509757	0.02334523506	0.01170469991	0.1699648199	0.2861298715
-12.116	0.004	-9.155	0.025	-10.176	0.012	2459522.684	2.961	1.94	-1.021	59522.68379	0.02773084925	0.0253179778	0.01264911064	0.170553369	0.2867152089
-12.133	0.004	-9.204	0.024	-10.205	0.012	2459522.684	2.929	1.928	-1.001	59522.68397	0.02683281573	0.02433105012	0.01264911064	0.1711387065	0.2873012636
-12.292	0.003	-9.404	0.021	-10.38	0.01	2459522.684	2.888	1.912	-0.976	59522.68416	0.0232594067	0.02121320344	0.01044030651	0.1717247612	0.2878854482
-12.213	0.004	-9.289	0.022	-10.291	0.011	2459522.684	2.924	1.922	-1.002	59522.68435	0.02459674775	0.02236067977	0.01170469991	0.1723089458	0.2884718456
-12.199	0.004	-9.269	0.023	-10.28	0.011	2459522.684	2.93	1.919	-1.011	59522.68454	0.02549509757	0.02334523506	0.01170469991	0.1728953431	0.2890557485
