star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase
-13.304	0.003	-10.152	0.016	-11.565	0.006	2459522.572	3.152	1.739	-1.413	59522.5724	0.01708800749	0.0162788206	0.006708203932	0.9394239976
-13.314	0.003	-10.166	0.015	-11.566	0.006	2459522.573	3.148	1.748	-1.4	59522.57259	0.01615549442	0.01529705854	0.006708203932	0.9400136385
-13.262	0.003	-10.056	0.017	-11.53	0.007	2459522.573	3.206	1.732	-1.474	59522.57282	0.01838477631	0.0172626765	0.007615773106	0.9407184255
-13.272	0.003	-10.091	0.016	-11.526	0.006	2459522.573	3.181	1.746	-1.435	59522.57301	0.01708800749	0.0162788206	0.006708203932	0.9413012061
-13.249	0.003	-10.058	0.017	-11.51	0.007	2459522.573	3.191	1.739	-1.452	59522.57319	0.01838477631	0.0172626765	0.007615773106	0.9418836135
-13.234	0.003	-10.069	0.016	-11.48	0.007	2459522.573	3.165	1.754	-1.411	59522.57338	0.0174642492	0.0162788206	0.007615773106	0.9424674845
-13.222	0.003	-10.027	0.017	-11.473	0.007	2459522.574	3.195	1.749	-1.446	59522.57356	0.01838477631	0.0172626765	0.007615773106	0.9430466484
-13.256	0.003	-10.096	0.016	-11.529	0.006	2459522.574	3.16	1.727	-1.433	59522.57375	0.01708800749	0.0162788206	0.006708203932	0.9436301463
-13.277	0.003	-10.069	0.017	-11.535	0.007	2459522.574	3.208	1.742	-1.466	59522.57394	0.01838477631	0.0172626765	0.007615773106	0.9442140187
-13.241	0.003	-10.046	0.017	-11.517	0.007	2459522.574	3.195	1.724	-1.471	59522.57413	0.01838477631	0.0172626765	0.007615773106	0.9447982658
-13.259	0.003	-10.078	0.016	-11.519	0.007	2459522.574	3.181	1.74	-1.441	59522.57431	0.0174642492	0.0162788206	0.007615773106	0.9453777723
-13.156	0.003	-9.988	0.017	-11.422	0.007	2459522.575	3.168	1.734	-1.434	59522.57451	0.01838477631	0.0172626765	0.007615773106	0.9459796979
-13.177	0.003	-10.001	0.017	-11.439	0.007	2459522.575	3.176	1.738	-1.438	59522.57469	0.01838477631	0.0172626765	0.007615773106	0.9465610441
-13.264	0.003	-10.081	0.016	-11.53	0.006	2459522.575	3.183	1.734	-1.449	59522.57488	0.01708800749	0.0162788206	0.006708203932	0.9471452592
